"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL404811";"DIGITONIN";"None";"1229.32";"None";"None";"DIGITONIN";"C[C@@H]1CC[C@@]2(OC1)O[C@H]1[C@@H](O)[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)C(O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL1413";"CICLOPIROX";"4.0";"207.27";"0";"2.44";"CICLOPIROX";"Cc1cc(C2CCCCC2)n(O)c(=O)c1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL322276";"";"None";"397.45";"0";"3.70";"3b";"CC1(C)OC(=O)C(Oc2ccc3[nH]ccc3c2)=C1c1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"240.0";"nM";"6.62";"";"";"UO_0000065";"16.66";"0.32";"2.92";"7.75";"0";"CHEMBL884351";"Inhibitory potency against PGE-2 production in the human whole blood (HWB COX-2) assay";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131878";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL222863";"OUABAIN";"4.0";"584.66";"3";"-1.51";"OUABAIN";"C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL307145";"PYROGALLOL";"4.0";"126.11";"0";"0.80";"PYROGALLOL";"Oc1cccc(O)c1O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL92401";"IPRONIAZID";"4.0";"179.22";"0";"0.72";"IPRONIAZID";"CC(C)NNC(=O)c1ccncc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL3357104";"";"None";"284.29";"0";"3.30";"28";"COc1ccc(C2=C(c3ccc(F)cc3)C(=O)OC2)cc1";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3384575";"Inhibition of COX-2 in human 1483 cells by cell-based assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351312";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"None";"";"";""
"CHEMBL248702";"DEXFENFLURAMINE";"4.0";"231.26";"0";"3.25";"DEXFENFLURAMINE";"CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL701";"BACLOFEN";"4.0";"213.66";"0";"1.86";"Baclofen";"NCC(CC(=O)O)c1ccc(Cl)cc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";"";"";""
"CHEMBL323732";"";"None";"384.39";"1";"5.34";"7p";"CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1";"IC50";"'='";"760.0";"nM";"6.12";"";"";"UO_0000065";"15.92";"0.32";"0.78";"17.92";"0";"CHEMBL760088";"In vitro inhibition of prostaglandin G/H synthase 2 (COX-2).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128591";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";""
