"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1089082";"";"0";"459.43";"1";"5.73";"9";"O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1cccc(C(F)(F)F)c1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1110867";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156255";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL466496";"";"0";"293.33";"0";"2.59";"17";"C[C@@H](Nc1c(Nc2ccncc2)c(=O)c1=O)c1ccccc1";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"24.62";"0.45";"4.63";"10.16";"0";"CHEMBL1011436";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136863";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2009";"None";""
"CHEMBL559147";"Y-27632";"0";"247.34";"0";"2.17";"Y-27632";"C[C@@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"27.59";"0.52";"4.65";"10.03";"0";"CHEMBL1960787";"Inhibition of human recombinant N-terminal his-tagged ROCK1 (3-543) expressed in baculovirus infected Sf9 cells using Biotin-Ahx-AKRRLSSLRA-CONH2 substrate and [gamma-33P]ATP after 90 mins by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1955726";"1";"Scientific Literature";"J. Pharmacol. Exp. Ther.";"2007";"CHEMBL3308860";""
"CHEMBL604060";"";"0";"440.57";"1";"5.61";"9l";"Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4ccccc4)cnc3-c3ccsc3)cc12";"IC50";"'='";"6000.0";"nM";"5.22";"";"";"UO_0000065";"11.85";"0.22";"-0.39";"6.80";"0";"CHEMBL1071954";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153241";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL595684";"";"0";"450.54";"1";"5.25";"9c";"Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4ccccc4)cnc3-c3cccc(O)c3)cc12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1071954";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153241";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1083074";"";"0";"362.46";"0";"4.00";"rac-31";"Cc1c(-c2ccnc(N)n2)sc2ccc(C(N)c3cccc(O)c3)cc12";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"22.07";"0.42";"4.00";"8.16";"0";"CHEMBL1117720";"Inhibition of ROCK1 assessed as ATP cunsumption";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155477";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1085700";"";"0";"270.36";"0";"2.71";"36";"Cc1c(-c2ccnc(N)n2)sc2ccc(CN)cc12";"IC50";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"20.93";"0.41";"2.95";"7.27";"0";"CHEMBL1117720";"Inhibition of ROCK1 assessed as ATP cunsumption";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155477";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1084892";"";"0";"341.80";"0";"3.08";"21";"CNC(C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl)c1ccccc1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"22.98";"0.45";"4.77";"10.61";"0";"CHEMBL1117929";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155525";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1923165";"";"0";"361.41";"0";"3.20";"31";"COc1cccc(CNC(=O)c2cc3ccc(-c4cn[nH]c4C)nc3[nH]2)c1";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"21.36";"0.39";"4.52";"8.07";"0";"CHEMBL1925274";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921667";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
"CHEMBL1923178";"";"0";"376.42";"0";"3.51";"44";"COc1ccc(OC)c(CNC(=O)c2c[nH]c3cc(-c4cn[nH]c4)ccc23)c1";"IC50";"'='";"1340.0";"nM";"5.87";"";"";"UO_0000065";"15.60";"0.29";"2.36";"6.38";"0";"CHEMBL1925274";"Inhibition of ROCK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3231";"Rho-associated protein kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921667";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
