CID,Isomeric SMILES
1321494,C1CN(CCN1C2=CC=CC=C2F)C(=O)C3=CC=C(C=C3)CN4CCOCC4
754782,CC1=C(C2=NC(=C(C(=O)N2N1)CC3=CC=CC=C3)C)C#N
9627708,CCCCNC(=S)N/N=C/C1=C(C=CS1)C
24789511,CC1=C(C=C(C=C1)NC(=O)CCNS(=O)(=O)C2=CC3=C(C=C2)NC(=O)CC3)C
3242794,CCN(CC)CCNC(=O)CN1C=NC2=C(C1=O)C(=C(S2)C)S(=O)(=O)N3CCOCC3
4614132,CC1CCN(CC1)S(=O)(=O)C2=C(SC3=C2C(=O)N(C=N3)CC(=O)N4CCCCC4)C
135449515,C1CC(CN(C1)C(=O)CC2=CC=CS2)C3=NC4=C(C(=O)N3)N=NN4CC5=CC=C(C=C5)F
3240173,CC1=C(C(=NN1C)C)S(=O)(=O)N(CC(=O)NC2CCCCCC2)C3=CC=C(C=C3)OC
2878917,COC1=CC=C(C=C1)S(=O)(=O)N(CC2=CC=CC=C2)CC(=O)NCC3=CC=CC=N3
3244910,CN1C(C(C2=CC(=C(C=C2C1=O)OC)OC)C(=O)N3CCN(CC3)C4=CC=CC=N4)C5=CC=CS5
262698,COC1=C(C=C(C=C1)C2C3=C(CC(N2)C(=O)O)C4=CC=CC=C4N3)OC
886080,C1CCC(CC1)C(=O)NC(=S)NC2=CC=C(C=C2)F
734495,CC1=CC(=NC(=N1)OC2=CC=C(C=C2)Br)C
1237650,COC1=C(C=C(C=C1)S(=O)(=O)N(CC2=CC=CC=C2)CC(=O)OC)OC
7178314,COC1=CC=C(C=C1)NC(=O)COC2=COC(=CC2=O)CN3CCC4=CC=CC=C43
135541128,CC(C)NC(=O)CSC1=NC(=C(C(=O)N1)NC(=O)C2=CC=CO2)N
2999647,CN(C1CCCCC1)C(=O)CSC2=NN=NN2C3=CC=CC=C3
2674735,CC1=C(C=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C3=NN(C(=O)C4=CC=CC=C43)C(C)C)C
3215024,CCN1C(=NN=C1SCC(=O)NC2=CC=CC=C2Cl)C3CC3
135732024,CCCC1=CC(=O)NC2=NN=C(N12)SCC(=O)NC3=CC4=C(C=C3)OCCO4
