"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL2016728";"";"None";"475.47";"0";"3.78";"35";"Cc1nc(N2CCC(N)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12";"IC50";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"16.11";"0.31";"3.88";"7.46";"0";"CHEMBL2021002";"Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHO-K1 cell membranes after 2 hrs by SPA binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307512";"";"";""
"CHEMBL2016730";"";"None";"511.03";"1";"4.29";"37";"Cc1nc(N2CCC(NC(=O)NC(C)C)CC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"15.96";"0.31";"3.86";"7.52";"0";"CHEMBL2021002";"Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHO-K1 cell membranes after 2 hrs by SPA binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307512";"";"";""
"CHEMBL2016779";"";"None";"504.51";"1";"4.60";"46";"CCC1(O)CCN(c2nc(C)c3cc(NC(=O)COc4ccc(OC(F)(F)F)cc4)ccc3n2)CC1";"IC50";"'='";"116.0";"nM";"6.94";"";"";"UO_0000065";"13.75";"0.26";"2.34";"7.16";"0";"CHEMBL2021002";"Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHO-K1 cell membranes after 2 hrs by SPA binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307512";"";"";""
"CHEMBL2016700";"";"None";"482.03";"0";"4.78";"7";"Cc1nc(N2CCN(CC(C)(C)C)CC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12";"IC50";"'='";"246.0";"nM";"6.61";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2021003";"Antagonist activity at human MCHR1 expressed in CHO-K1 cells assessed as inhibition of MCH peptide mediated response measuring [3H]inositol phosphate production by IP3-SPA-YSI assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307512";"";"";""
"CHEMBL2016702";"";"None";"480.01";"0";"4.67";"9";"Cc1nc(N2CCN(C3CCCC3)CC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2021003";"Antagonist activity at human MCHR1 expressed in CHO-K1 cells assessed as inhibition of MCH peptide mediated response measuring [3H]inositol phosphate production by IP3-SPA-YSI assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307512";"";"";""
"CHEMBL2016715";"";"None";"522.05";"1";"4.84";"22";"Cc1nc(N2CCN(C(=O)C3CCCCC3)CC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12";"IC50";"'='";"1035.0";"nM";"5.99";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2021003";"Antagonist activity at human MCHR1 expressed in CHO-K1 cells assessed as inhibition of MCH peptide mediated response measuring [3H]inositol phosphate production by IP3-SPA-YSI assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307512";"";"";""
"CHEMBL2016719";"";"None";"440.93";"0";"4.22";"26";"COC1CCN(c2nc(C)c3cc(NC(=O)COc4ccc(Cl)cc4)ccc3n2)CC1";"IC50";"'='";"181.0";"nM";"6.74";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2021003";"Antagonist activity at human MCHR1 expressed in CHO-K1 cells assessed as inhibition of MCH peptide mediated response measuring [3H]inositol phosphate production by IP3-SPA-YSI assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307512";"";"";""
"CHEMBL212210";"";"None";"574.06";"2";"7.63";"16c";"O=C(CNC1(c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)CCN(C2CCCC2)CC1)Nc1ccc(F)c(Cl)c1";"Ki";"'='";"3247.0";"nM";"5.49";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL867266";"Binding affinity at human MCHR1 assessed as inhibition of MCH-mediated calcium ion influx by FLIPR assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138943";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL209089";"";"None";"513.63";"2";"7.20";"5e";"N#Cc1cccc(-c2ccc(C3(CCC(=O)Nc4ccc(F)c(F)c4)CCN(C4CCCC4)CC3)cc2)c1";"Ki";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL867266";"Binding affinity at human MCHR1 assessed as inhibition of MCH-mediated calcium ion influx by FLIPR assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138943";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL208827";"";"None";"547.56";"2";"6.84";"12t";"CN(C)C(=O)N1CCC(=C(c2ccc(-c3cccc(C#N)c3)cc2)c2nc3cc(F)c(C(F)(F)F)cc3[nH]2)CC1";"Ki";"'='";"37.0";"nM";"7.43";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL866622";"Binding affinity to human MCHR1 assessed as inhibition of MCH-mediated calcium ion influx by FLIPR assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL344";"Melanin-concentrating hormone receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138940";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
