ID,Mol,Smiles,Source
DB00006,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA13F0>,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,drugbank
DB00014,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA14D0>,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,drugbank
DB00035,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1540>,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,drugbank
DB00050,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA15B0>,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,drugbank
DB00091,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1620>,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,drugbank
DB00093,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1690>,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,drugbank
DB00104,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1380>,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccccc2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O,drugbank
DB00114,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1700>,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,drugbank
DB00115,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1770>,C/C1=C2/N3[Co]456(C#N)<-N7=C1[C@@H](CCC(N)=O)C(C)(C)/C7=C/C1=N->4/C(=C(/C)C4=N->5[C@@](C)([C@H]3[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)(O)O[C@H]2[C@@H](O)[C@@H](n3cn->6c5cc(C)c(C)cc53)O[C@@H]2CO)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]1CCC(N)=O,drugbank
DB00116,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA17E0>,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,drugbank
DB00117,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1850>,N[C@@H](Cc1cnc[nH]1)C(=O)O,drugbank
DB00118,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA18C0>,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,drugbank
DB00119,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1930>,CC(=O)C(=O)O,drugbank
DB00120,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA19A0>,N[C@@H](Cc1ccccc1)C(=O)O,drugbank
DB00121,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1A10>,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,drugbank
DB00122,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1A80>,C[N+](C)(C)CCO,drugbank
DB00123,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1AF0>,NCCCC[C@H](N)C(=O)O,drugbank
DB00125,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1B60>,N=C(N)NCCC[C@H](N)C(=O)O,drugbank
DB00126,<rdkit.Chem.rdchem.Mol object at 0x000002217AEA1BD0>,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,drugbank
