ID,Mol,Smiles,Source
CHEMBL1773577,<rdkit.Chem.rdchem.Mol object at 0x000002210940E650>,CC(=O)Nc1nc2ccc(-c3ccnc(NS(=O)(=O)c4ccccc4F)n3)cc2s1,mtor
CHEMBL1773561,<rdkit.Chem.rdchem.Mol object at 0x000002210940E6C0>,CC(=O)Nc1nc2ccc(-c3ccnc(OCc4cccc(C)c4)n3)cc2s1,mtor
CHEMBL1773077,<rdkit.Chem.rdchem.Mol object at 0x000002210940E730>,COc1cccc(COc2nccc(-c3ccc4nc(NC(C)=O)sc4c3)n2)c1,mtor
CHEMBL1773580,<rdkit.Chem.rdchem.Mol object at 0x000002210940E7A0>,CC(=O)Nc1nc2ccc(-c3ccnc(NS(=O)(=O)c4ccc(F)cc4)n3)cc2s1,mtor
CHEMBL1773578,<rdkit.Chem.rdchem.Mol object at 0x000002210940E810>,CC(=O)Nc1nc2ccc(-c3ccnc(N(C)S(=O)(=O)c4ccccc4F)n3)cc2s1,mtor
CHEMBL1773601,<rdkit.Chem.rdchem.Mol object at 0x000002210940E880>,COc1ccc(S(=O)(=O)Nc2cccc(-c3ccc4nc(NC(C)=O)sc4c3)c2)cc1,mtor
CHEMBL1773606,<rdkit.Chem.rdchem.Mol object at 0x000002210940E8F0>,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4C(F)(F)F)c3)cc2s1,mtor
CHEMBL1945792,<rdkit.Chem.rdchem.Mol object at 0x000002210940E960>,O=c1[nH]c2ncc(-c3ccc(O)cc3)nc2n1C1CCOCC1,mtor
CHEMBL1945950,<rdkit.Chem.rdchem.Mol object at 0x000002210940E9D0>,CC(C)(O)c1ccc(-c2cnc3[nH]c(=O)n(CC4CCCCC4)c3n2)cc1,mtor
CHEMBL1946264,<rdkit.Chem.rdchem.Mol object at 0x000002210940EA40>,Nc1nc2cc(-c3cnc4[nH]c(=O)n(CC5CCCCC5)c4n3)ccc2[nH]1,mtor
CHEMBL1946266,<rdkit.Chem.rdchem.Mol object at 0x000002210940EAB0>,O=c1[nH]c2ncc(-c3ccc4[nH]ccc4c3)nc2n1CC1CCOCC1,mtor
CHEMBL409427,<rdkit.Chem.rdchem.Mol object at 0x000002210940EB20>,COC[C@H]1OC(=O)/C(=C/N(C)CCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,mtor
CHEMBL1256461,<rdkit.Chem.rdchem.Mol object at 0x000002210940EB90>,CCC(=O)N1CC=C(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,mtor
CHEMBL1256458,<rdkit.Chem.rdchem.Mol object at 0x000002210940EC00>,CN1CCN(CC(=O)N2CCN(c3ccc(-n4c(=O)ccc5cnc6ccc(-c7cnc8ccccc8c7)cc6c54)cc3C(F)(F)F)CC2)CC1,mtor
CHEMBL1259105,<rdkit.Chem.rdchem.Mol object at 0x000002210940EC70>,O=c1ccc2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccc(S(=O)(=O)N2CCNCC2)cc1,mtor
CHEMBL1256452,<rdkit.Chem.rdchem.Mol object at 0x000002210940ECE0>,O=c1ccc2cnc3ccc(-c4ccc5ccccc5c4)cc3c2n1-c1ccc(N2CCNCC2)c(C(F)(F)F)c1,mtor
CHEMBL1762774,<rdkit.Chem.rdchem.Mol object at 0x000002210940ED50>,Oc1cccc(Nc2nc3ccccc3n2-c2ncnc(Nc3ccccc3)n2)c1,mtor
CHEMBL1370,<rdkit.Chem.rdchem.Mol object at 0x000002210940EDC0>,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,mtor
CHEMBL188678,<rdkit.Chem.rdchem.Mol object at 0x000002210940EE30>,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,mtor
CHEMBL469202,<rdkit.Chem.rdchem.Mol object at 0x000002210940EEA0>,Cc1ccc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)cn1,mtor
CHEMBL1760160,<rdkit.Chem.rdchem.Mol object at 0x000002210940EF10>,Cc1nc(N)nc(-n2c(Nc3ccn(C(F)F)n3)nc3ccccc32)n1,mtor
CHEMBL1760161,<rdkit.Chem.rdchem.Mol object at 0x000002210940EF80>,Cc1nc(N)nc(-n2c(Nc3ccon3)nc3ccccc32)n1,mtor
CHEMBL1773585,<rdkit.Chem.rdchem.Mol object at 0x000002210940EFF0>,CC(=O)Nc1nc2ccc(-c3ccnc(Oc4ccccc4)n3)cc2s1,mtor
CHEMBL1201182,<rdkit.Chem.rdchem.Mol object at 0x000002210940F060>,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,mtor
CHEMBL2172638,<rdkit.Chem.rdchem.Mol object at 0x000002210940F0D0>,Cc1nc(N)nc(-c2c(Nc3cc[nH]n3)nc3ccc(-c4ccccc4F)cn23)n1,mtor
CHEMBL1773574,<rdkit.Chem.rdchem.Mol object at 0x000002210940F140>,COc1ccc(S(=O)(=O)Nc2nccc(-c3ccc4nc(NC(C)=O)sc4c3)n2)cc1,mtor
CHEMBL1773579,<rdkit.Chem.rdchem.Mol object at 0x000002210940F1B0>,CC(=O)Nc1nc2ccc(-c3ccnc(NS(=O)(=O)c4cccc(F)c4)n3)cc2s1,mtor
CHEMBL1762783,<rdkit.Chem.rdchem.Mol object at 0x000002210940F220>,CCc1nc(N)nc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,mtor
CHEMBL1762788,<rdkit.Chem.rdchem.Mol object at 0x000002210940F290>,Cc1nc(N)nc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,mtor
CHEMBL1773595,<rdkit.Chem.rdchem.Mol object at 0x000002210940F300>,CC(=O)Nc1nc2ccc(-c3ccnc(Sc4cccc(C)c4)n3)cc2s1,mtor
CHEMBL1773560,<rdkit.Chem.rdchem.Mol object at 0x000002210940F370>,CC(=O)Nc1nc2ccc(-c3ccnc(OCc4cccc(F)c4)n3)cc2s1,mtor
CHEMBL1773570,<rdkit.Chem.rdchem.Mol object at 0x000002210940F3E0>,CC(=O)Nc1nc2ccc(-c3ccnc(OCCN4CCOCC4)n3)cc2s1,mtor
