Mol,Smiles
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E0D60>,COc1ccc(OC)c2c1c(C)cc(=O)n2C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF964BA0>,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](COP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF982F80>,O=c1n(C[C@@H](O)[C@H](O)[C@H](O)CO)c2nc(O)nc(O)c2n1CCCOP(=O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B9150>,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F84A0>,CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9731B0>,Nc1nc2ncn(CCNC(CO)CO)c2c(=O)[nH]1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93E030>,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
<rdkit.Chem.rdchem.Mol object at 0x00000219AF996730>,C[C@H](CC(=O)O)[C@H](N)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D6960>,CCCCCCCCCSC[C@H](N)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF941540>,COc1c2occc2cc2ccc(=O)oc12
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94ED50>,CC(C)Cc1ccc(C(C)C(=O)O)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9998C0>,C[C@H]1C=CN[C@@H]1C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95F0D0>,CC(=O)N1CCC[C@@H](C)C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93C3C0>,O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF951380>,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96A2D0>,Cc1cc2ncn([C@@H]3O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]3O)c2cc1C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97D930>,COCCO
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A6B90>,Brc1c(Br)c(Br)c2n[nH]nc2c1Br
<rdkit.Chem.rdchem.Mol object at 0x00000219AF979AF0>,C[N+](C)(C)C[C@H](O)CC(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF992F80>,OCCc1ccc(F)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF988A50>,Cc1ccc2sc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)nc2c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B6810>,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12
<rdkit.Chem.rdchem.Mol object at 0x00000219AF942500>,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94A570>,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
<rdkit.Chem.rdchem.Mol object at 0x00000219AF99EF10>,CCc1oc2cc(S(=O)(=O)N(C)C)ccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF985C40>,[O-][Cl+3]([O-])([O-])[O-]
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95C6D0>,CNC1CN23CCN45CCN67CC(=O)[O-]->[Gd+3]<-4<-2<-6(<-O=1)(<-O=C(C7)NC)(<-[O-]C(=O)C5)<-[O-]C(=O)C3
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C1FC0>,N=C(N)Nc1ccc(B2OC[C@@H](CO)O2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B2880>,Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9969D0>,NCC[C@H](N)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96F990>,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C=C\C=C(C)/C=C/C=C(\C)CO)C(C)(C)C[C@H](O)C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97DF50>,NOCC[C@@H](N)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF99B610>,NS(=O)(=O)c1ccc(C(=O)NCCCCNCS)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F4900>,CCOC(O)=N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96BA00>,Cc1nc(C)c(-c2ccnc(N)n2)s1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF979230>,OB(O)c1ccc(-c2ccc(B(O)O)cc2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A8740>,NC(=O)[C@@H](O)[C@H](N)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F3530>,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E9FC0>,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF99CAC0>,[C-]#[N+]CCC
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95E960>,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93D5B0>,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95E8F0>,C[C@H](c1ccccc1)[C@@H](C[C@@H](O)CN1CCN(Cc2ccc3c(c2)OCO3)C[C@@H]1C(=O)NC(C)(C)C)C(=O)N[C@@H]1c2ccccc2C[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF975540>,C[C@](O)(CBr)CCO[P@@](=O)(O)OP(=O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97D690>,O=C(O)[C@@]1(O)C=C[C@H](O)[C@@H](O)C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF981690>,C[Se](=O)CC[C@@H](N)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F4A50>,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F7F40>,CNC1Cc2ccccc2C(c2ccccc2)C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95DD20>,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO[P@@](=O)(O)OP(=O)(O)O[P@](=O)(O)OC[C@@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E1AF0>,CCCCCCCCNC(=S)N1[C@@H]2OC[C@H]1[C@@H](O)[C@H](O)[C@H]2O
